Wavelength (nm),Sum,Pb I (1.4e-01),Pb II (8.6e-01)
263.74,2.197e+2,2.197e+2,
263.79,5.676e+1,5.676e+1,
263.84,1.364e+1,1.364e+1,
263.89,3.048e+0,3.048e+0,
263.94,6.338e-1,6.338e-1,
263.99,1.226e-1,1.226e-1,
264.04,2.205e-2,2.205e-2,
264.09,3.689e-3,3.689e-3,
264.14,5.741e-4,5.741e-4,
264.19,8.311e-5,8.311e-5,
264.24,1.119e-5,1.119e-5,
264.29,1.402e-6,1.402e-6,
264.34,1.633e-7,1.633e-7,
264.39,1.770e-8,1.770e-8,
264.69,5.418e-8,5.418e-8,
264.74,5.208e-7,5.208e-7,
264.79,4.665e-6,4.665e-6,
264.84,3.894e-5,3.894e-5,
264.89,3.029e-4,3.029e-4,
264.94,2.196e-3,2.196e-3,
264.99,1.484e-2,1.484e-2,
265.04,9.344e-2,9.344e-2,
265.09,5.483e-1,5.483e-1,
265.14,2.998e+0,2.998e+0,
265.19,1.528e+1,1.528e+1,
265.24,7.257e+1,7.257e+1,
265.29,3.212e+2,3.212e+2,
265.34,1.325e+3,1.325e+3,
265.39,5.093e+3,5.093e+3,
265.44,1.824e+4,1.824e+4,
265.49,6.091e+4,6.091e+4,
265.54,1.895e+5,1.895e+5,
265.59,5.494e+5,5.494e+5,
265.64,1.485e+6,1.485e+6,
265.69,3.739e+6,3.739e+6,
265.74,8.773e+6,8.773e+6,
265.79,1.919e+7,1.919e+7,
265.84,3.911e+7,3.911e+7,
265.89,7.428e+7,7.428e+7,
265.94,1.315e+8,1.315e+8,
265.99,2.169e+8,2.169e+8,
266.04,3.334e+8,3.334e+8,
266.09,4.777e+8,4.777e+8,
266.14,6.378e+8,6.378e+8,
266.19,7.936e+8,7.936e+8,
266.24,9.202e+8,9.202e+8,
266.29,9.944e+8,9.944e+8,
266.34,1.001e+9,1.001e+9,
266.39,9.399e+8,9.399e+8,
266.44,8.221e+8,8.221e+8,
266.49,6.701e+8,6.701e+8,
266.54,5.090e+8,5.090e+8,
266.59,3.603e+8,3.603e+8,
266.64,2.377e+8,2.377e+8,
266.69,1.461e+8,1.461e+8,
266.74,8.374e+7,8.374e+7,
266.79,4.471e+7,4.471e+7,
266.84,2.225e+7,2.225e+7,
266.89,1.032e+7,1.032e+7,
266.94,4.459e+6,4.459e+6,
266.99,1.796e+6,1.796e+6,
267.04,6.741e+5,6.741e+5,
267.09,2.358e+5,2.358e+5,
267.14,7.686e+4,7.686e+4,
267.19,2.335e+4,2.335e+4,
267.24,6.611e+3,6.611e+3,
267.29,1.744e+3,1.744e+3,
267.34,4.288e+2,4.288e+2,
267.39,9.827e+1,9.827e+1,
267.44,2.098e+1,2.098e+1,
267.49,4.176e+0,4.176e+0,
267.54,7.745e-1,7.745e-1,
267.59,1.339e-1,1.339e-1,
267.64,2.156e-2,2.156e-2,
267.69,3.237e-3,3.237e-3,
267.74,4.528e-4,4.528e-4,
267.79,5.903e-5,5.903e-5,
267.84,7.171e-6,7.171e-6,
267.89,8.120e-7,8.120e-7,
267.94,8.568e-8,8.568e-8,
278.49,2.675e-7,2.675e-7,
278.54,2.288e-6,2.288e-6,
278.59,1.836e-5,1.836e-5,
278.64,1.382e-4,1.382e-4,
278.69,9.766e-4,9.766e-4,
278.74,6.474e-3,6.474e-3,
278.79,4.027e-2,4.027e-2,
278.84,2.350e-1,2.350e-1,
278.89,1.287e+0,1.287e+0,
278.94,6.612e+0,6.612e+0,
278.99,3.188e+1,3.188e+1,
279.04,1.442e+2,1.442e+2,
279.09,6.121e+2,6.121e+2,
279.14,2.438e+3,2.438e+3,
279.19,9.110e+3,9.110e+3,
279.24,3.194e+4,3.194e+4,
279.29,1.051e+5,1.051e+5,
279.34,3.244e+5,3.244e+5,
279.39,9.397e+5,9.397e+5,
279.44,2.554e+6,2.554e+6,
279.49,6.513e+6,6.513e+6,
279.54,1.559e+7,1.559e+7,
279.59,3.499e+7,3.499e+7,
279.64,7.372e+7,7.372e+7,
279.69,1.457e+8,1.457e+8,
279.74,2.703e+8,2.703e+8,
279.79,4.703e+8,4.703e+8,
279.84,7.680e+8,7.680e+8,
279.89,1.177e+9,1.177e+9,
279.94,1.692e+9,1.692e+9,
279.99,2.282e+9,2.282e+9,
280.04,2.888e+9,2.888e+9,
280.09,3.430e+9,3.430e+9,
280.14,3.823e+9,3.823e+9,
280.19,3.997e+9,3.997e+9,
280.24,3.921e+9,3.921e+9,
280.29,3.610e+9,3.610e+9,
280.34,3.118e+9,3.118e+9,
280.39,2.527e+9,2.527e+9,
280.44,1.922e+9,1.922e+9,
280.49,1.371e+9,1.371e+9,
280.54,9.180e+8,9.180e+8,
280.59,5.767e+8,5.767e+8,
280.64,3.399e+8,3.399e+8,
280.69,1.880e+8,1.880e+8,
280.74,9.756e+7,9.756e+7,
280.79,4.750e+7,4.750e+7,
280.84,2.170e+7,2.170e+7,
280.89,9.304e+6,9.304e+6,
280.94,3.743e+6,3.743e+6,
280.99,1.413e+6,1.413e+6,
281.04,5.002e+5,5.002e+5,
281.09,1.662e+5,1.662e+5,
281.14,5.184e+4,5.184e+4,
281.19,1.522e+4,1.522e+4,
281.24,4.379e+3,4.379e+3,
281.29,1.885e+3,1.885e+3,
281.34,3.129e+3,3.129e+3,
281.39,9.569e+3,9.569e+3,
281.44,2.961e+4,2.961e+4,
281.49,8.654e+4,8.654e+4,
281.54,2.376e+5,2.376e+5,
281.59,6.127e+5,6.127e+5,
281.64,1.484e+6,1.484e+6,
281.69,3.375e+6,3.375e+6,
281.74,7.210e+6,7.210e+6,
281.79,1.447e+7,1.447e+7,
281.84,2.726e+7,2.726e+7,
281.89,4.824e+7,4.824e+7,
281.94,8.018e+7,8.018e+7,
281.99,1.252e+8,1.252e+8,
282.04,1.835e+8,1.835e+8,
282.09,2.527e+8,2.527e+8,
282.14,3.269e+8,3.269e+8,
282.19,3.970e+8,3.970e+8,
282.24,4.529e+8,4.529e+8,
282.29,4.853e+8,4.853e+8,
282.34,4.884e+8,4.884e+8,
282.39,4.616e+8,4.616e+8,
282.44,4.099e+8,4.099e+8,
282.49,3.421e+8,3.421e+8,
282.54,2.690e+8,2.690e+8,
282.59,2.006e+8,2.006e+8,
282.64,1.452e+8,1.452e+8,
282.69,1.090e+8,1.090e+8,
282.74,9.746e+7,9.746e+7,
282.79,1.171e+8,1.171e+8,
282.84,1.765e+8,1.765e+8,
282.89,2.869e+8,2.869e+8,
282.94,4.596e+8,4.596e+8,
282.99,7.021e+8,7.021e+8,
283.04,1.012e+9,1.012e+9,
283.09,1.373e+9,1.373e+9,
283.14,1.750e+9,1.750e+9,
283.19,2.097e+9,2.097e+9,
283.24,2.360e+9,2.360e+9,
283.29,2.496e+9,2.496e+9,
283.34,2.480e+9,2.480e+9,
283.39,2.316e+9,2.316e+9,
283.44,2.032e+9,2.032e+9,
283.49,1.675e+9,1.675e+9,
283.54,1.298e+9,1.298e+9,
283.59,9.445e+8,9.445e+8,
283.64,6.459e+8,6.459e+8,
283.69,4.150e+8,4.150e+8,
283.74,2.506e+8,2.506e+8,
283.79,1.421e+8,1.421e+8,
283.84,7.576e+7,7.576e+7,
283.89,3.795e+7,3.795e+7,
283.94,1.786e+7,1.786e+7,
283.99,7.895e+6,7.895e+6,
284.04,3.280e+6,3.280e+6,
284.09,1.280e+6,1.280e+6,
284.14,4.697e+5,4.697e+5,
284.19,1.619e+5,1.619e+5,
284.24,5.242e+4,5.242e+4,
284.29,1.595e+4,1.595e+4,
284.34,4.559e+3,4.559e+3,
284.39,1.225e+3,1.225e+3,
284.44,3.091e+2,3.091e+2,
284.49,7.331e+1,7.331e+1,
284.54,1.634e+1,1.634e+1,
284.59,3.420e+0,3.420e+0,
284.64,6.729e-1,6.729e-1,
284.69,1.244e-1,1.244e-1,
284.74,2.160e-2,2.160e-2,
284.79,3.526e-3,3.526e-3,
284.84,5.406e-4,5.406e-4,
284.89,7.789e-5,7.789e-5,
284.94,1.054e-5,1.054e-5,
284.99,1.341e-6,1.341e-6,
285.59,8.636e-8,8.636e-8,
285.64,6.894e-7,6.894e-7,
285.69,5.180e-6,5.180e-6,
285.74,3.663e-5,3.663e-5,
285.79,2.439e-4,2.439e-4,
285.84,1.528e-3,1.528e-3,
285.89,9.010e-3,9.010e-3,
285.94,5.001e-2,5.001e-2,
285.99,2.613e-1,2.613e-1,
286.04,1.285e+0,1.285e+0,
286.09,5.947e+0,5.947e+0,
286.14,2.591e+1,2.591e+1,
286.19,1.062e+2,1.062e+2,
286.24,4.100e+2,4.100e+2,
286.29,1.490e+3,1.490e+3,
286.34,5.093e+3,5.093e+3,
286.39,1.639e+4,1.639e+4,
286.44,4.965e+4,4.965e+4,
286.49,1.416e+5,1.416e+5,
286.54,3.799e+5,3.799e+5,
286.59,9.597e+5,9.597e+5,
286.64,2.282e+6,2.282e+6,
286.69,5.106e+6,5.106e+6,
286.74,1.075e+7,1.075e+7,
286.79,2.132e+7,2.132e+7,
286.84,3.978e+7,3.978e+7,
286.89,6.987e+7,6.987e+7,
286.94,1.155e+8,1.155e+8,
286.99,1.797e+8,1.797e+8,
287.04,2.632e+8,2.632e+8,
287.09,3.628e+8,3.628e+8,
287.14,4.708e+8,4.708e+8,
287.19,5.749e+8,5.749e+8,
287.24,6.609e+8,6.609e+8,
287.29,7.150e+8,7.150e+8,
287.34,7.281e+8,7.281e+8,
287.39,6.979e+8,6.979e+8,
287.44,6.296e+8,6.296e+8,
287.49,5.346e+8,5.346e+8,
287.54,4.273e+8,4.273e+8,
287.59,3.214e+8,3.214e+8,
287.64,2.276e+8,2.276e+8,
287.69,1.517e+8,1.517e+8,
287.74,9.516e+7,9.516e+7,
287.79,5.618e+7,5.618e+7,
287.84,3.122e+7,3.122e+7,
287.89,1.633e+7,1.633e+7,
287.94,8.041e+6,8.041e+6,
287.99,3.726e+6,3.726e+6,
288.04,1.625e+6,1.625e+6,
288.09,6.673e+5,6.673e+5,
288.14,2.578e+5,2.578e+5,
288.19,9.378e+4,9.378e+4,
288.24,3.211e+4,3.211e+4,
288.29,1.034e+4,1.034e+4,
288.34,3.137e+3,3.137e+3,
288.39,8.956e+2,8.956e+2,
288.44,2.406e+2,2.406e+2,
288.49,6.086e+1,6.086e+1,
288.54,1.449e+1,1.449e+1,
288.59,3.246e+0,3.246e+0,
288.64,6.844e-1,6.844e-1,
288.69,1.359e-1,1.359e-1,
288.74,2.538e-2,2.538e-2,
288.79,4.463e-3,4.463e-3,
288.84,7.387e-4,7.387e-4,
288.89,1.151e-4,1.151e-4,
288.94,1.687e-5,1.687e-5,
288.99,2.329e-6,2.329e-6,
289.04,3.025e-7,3.025e-7,
355.12,7.757e-8,7.757e-8,
355.17,4.099e-7,4.099e-7,
355.22,2.083e-6,2.083e-6,
355.27,1.018e-5,1.018e-5,
355.32,4.783e-5,4.783e-5,
355.37,2.161e-4,2.161e-4,
355.42,9.388e-4,9.388e-4,
355.47,3.922e-3,3.922e-3,
355.52,1.576e-2,1.576e-2,
355.57,6.086e-2,6.086e-2,
355.62,2.261e-1,2.261e-1,
355.67,8.075e-1,8.075e-1,
355.72,2.773e+0,2.773e+0,
355.77,9.160e+0,9.160e+0,
355.82,2.909e+1,2.909e+1,
355.87,8.883e+1,8.883e+1,
355.92,2.609e+2,2.609e+2,
355.97,7.366e+2,7.366e+2,
356.02,2.000e+3,2.000e+3,
356.07,5.222e+3,5.222e+3,
356.12,1.311e+4,1.311e+4,
356.17,3.165e+4,3.165e+4,
356.22,7.347e+4,7.347e+4,
356.27,1.640e+5,1.640e+5,
356.32,3.521e+5,3.521e+5,
356.37,7.267e+5,7.267e+5,
356.42,1.442e+6,1.442e+6,
356.47,2.753e+6,2.753e+6,
356.52,5.051e+6,5.051e+6,
356.57,8.914e+6,8.914e+6,
356.62,1.513e+7,1.513e+7,
356.67,2.468e+7,2.468e+7,
356.72,3.873e+7,3.873e+7,
356.77,5.843e+7,5.843e+7,
356.82,8.478e+7,8.478e+7,
356.87,1.183e+8,1.183e+8,
356.92,1.587e+8,1.587e+8,
356.97,2.047e+8,2.047e+8,
357.02,2.539e+8,2.539e+8,
357.07,3.028e+8,3.028e+8,
357.12,3.473e+8,3.473e+8,
357.17,3.830e+8,3.830e+8,
357.22,4.062e+8,4.062e+8,
357.27,4.142e+8,4.142e+8,
357.32,4.062e+8,4.062e+8,
357.37,3.830e+8,3.830e+8,
357.42,3.473e+8,3.473e+8,
357.47,3.028e+8,3.028e+8,
357.52,2.539e+8,2.539e+8,
357.57,2.047e+8,2.047e+8,
357.62,1.587e+8,1.587e+8,
357.67,1.183e+8,1.183e+8,
357.72,8.478e+7,8.478e+7,
357.77,5.843e+7,5.843e+7,
357.82,3.873e+7,3.873e+7,
357.87,2.468e+7,2.468e+7,
357.92,1.513e+7,1.513e+7,
357.97,8.914e+6,8.914e+6,
358.02,5.051e+6,5.051e+6,
358.07,2.753e+6,2.753e+6,
358.12,1.442e+6,1.442e+6,
358.17,7.267e+5,7.267e+5,
358.22,3.521e+5,3.521e+5,
358.27,1.640e+5,1.640e+5,
358.32,7.347e+4,7.347e+4,
358.37,3.165e+4,3.165e+4,
358.42,1.311e+4,1.311e+4,
358.47,5.222e+3,5.222e+3,
358.52,2.000e+3,2.000e+3,
358.57,7.366e+2,7.366e+2,
358.62,2.609e+2,2.609e+2,
358.67,8.883e+1,8.883e+1,
358.72,2.909e+1,2.909e+1,
358.77,9.160e+0,9.160e+0,
358.82,2.773e+0,2.773e+0,
358.87,8.075e-1,8.075e-1,
358.92,2.261e-1,2.261e-1,
358.97,6.086e-2,6.086e-2,
359.02,1.576e-2,1.576e-2,
359.07,3.922e-3,3.922e-3,
359.12,9.388e-4,9.388e-4,
359.17,2.161e-4,2.161e-4,
359.22,4.783e-5,4.783e-5,
359.27,1.018e-5,1.018e-5,
359.32,2.083e-6,2.083e-6,
359.37,4.099e-7,4.099e-7,
359.42,7.757e-8,7.757e-8,
361.77,1.872e-7,1.872e-7,
361.82,9.599e-7,9.599e-7,
361.87,4.739e-6,4.739e-6,
361.92,2.253e-5,2.253e-5,
361.97,1.031e-4,1.031e-4,
362.02,4.545e-4,4.545e-4,
362.07,1.929e-3,1.929e-3,
362.12,7.886e-3,7.886e-3,
362.17,3.104e-2,3.104e-2,
362.22,1.176e-1,1.176e-1,
362.27,4.294e-1,4.294e-1,
362.32,1.509e+0,1.509e+0,
362.37,5.108e+0,5.108e+0,
362.42,1.665e+1,1.665e+1,
362.47,5.224e+1,5.224e+1,
362.52,1.579e+2,1.579e+2,
362.57,4.595e+2,4.595e+2,
362.62,1.288e+3,1.288e+3,
362.67,3.475e+3,3.475e+3,
362.72,9.029e+3,9.029e+3,
362.77,2.259e+4,2.259e+4,
362.82,5.444e+4,5.444e+4,
362.87,1.263e+5,1.263e+5,
362.92,2.823e+5,2.823e+5,
362.97,6.074e+5,6.074e+5,
363.02,1.258e+6,1.258e+6,
363.07,2.511e+6,2.511e+6,
363.12,4.824e+6,4.824e+6,
363.17,8.925e+6,8.925e+6,
363.22,1.590e+7,1.590e+7,
363.27,2.728e+7,2.728e+7,
363.32,4.507e+7,4.507e+7,
363.37,7.170e+7,7.170e+7,
363.42,1.098e+8,1.098e+8,
363.47,1.620e+8,1.620e+8,
363.52,2.302e+8,2.302e+8,
363.57,3.149e+8,3.149e+8,
363.62,4.147e+8,4.147e+8,
363.67,5.261e+8,5.261e+8,
363.72,6.426e+8,6.426e+8,
363.77,7.558e+8,7.558e+8,
363.82,8.561e+8,8.561e+8,
363.87,9.337e+8,9.337e+8,
363.92,9.807e+8,9.807e+8,
363.97,9.919e+8,9.919e+8,
364.02,9.660e+8,9.660e+8,
364.07,9.060e+8,9.060e+8,
364.12,8.182e+8,8.182e+8,
364.17,7.115e+8,7.115e+8,
364.22,5.959e+8,5.959e+8,
364.27,4.805e+8,4.805e+8,
364.32,3.731e+8,3.731e+8,
364.37,2.790e+8,2.790e+8,
364.42,2.009e+8,2.009e+8,
364.47,1.393e+8,1.393e+8,
364.52,9.303e+7,9.303e+7,
364.57,5.982e+7,5.982e+7,
364.62,3.704e+7,3.704e+7,
364.67,2.208e+7,2.208e+7,
364.72,1.268e+7,1.268e+7,
364.77,7.010e+6,7.010e+6,
364.82,3.732e+6,3.732e+6,
364.87,1.913e+6,1.913e+6,
364.92,9.446e+5,9.446e+5,
364.97,4.491e+5,4.491e+5,
365.02,2.056e+5,2.056e+5,
365.07,9.062e+4,9.062e+4,
365.12,3.847e+4,3.847e+4,
365.17,1.573e+4,1.573e+4,
365.22,6.190e+3,6.190e+3,
365.27,2.346e+3,2.346e+3,
365.32,8.565e+2,8.565e+2,
365.37,3.011e+2,3.011e+2,
365.42,1.019e+2,1.019e+2,
365.47,3.332e+1,3.332e+1,
365.52,1.080e+1,1.080e+1,
365.57,4.391e+0,4.391e+0,
365.62,4.848e+0,4.848e+0,
365.67,1.226e+1,1.226e+1,
365.72,3.540e+1,3.540e+1,
365.77,1.002e+2,1.002e+2,
365.82,2.738e+2,2.738e+2,
365.87,7.208e+2,7.208e+2,
365.92,1.829e+3,1.829e+3,
365.97,4.471e+3,4.471e+3,
366.02,1.053e+4,1.053e+4,
366.07,2.391e+4,2.391e+4,
366.12,5.229e+4,5.229e+4,
366.17,1.102e+5,1.102e+5,
366.22,2.238e+5,2.238e+5,
366.27,4.380e+5,4.380e+5,
366.32,8.259e+5,8.259e+5,
366.37,1.501e+6,1.501e+6,
366.42,2.627e+6,2.627e+6,
366.47,4.433e+6,4.433e+6,
366.52,7.206e+6,7.206e+6,
366.57,1.129e+7,1.129e+7,
366.62,1.704e+7,1.704e+7,
366.67,2.478e+7,2.478e+7,
366.72,3.473e+7,3.473e+7,
366.77,4.690e+7,4.690e+7,
366.82,6.103e+7,6.103e+7,
366.87,7.653e+7,7.653e+7,
366.92,9.247e+7,9.247e+7,
366.97,1.077e+8,1.077e+8,
367.02,1.208e+8,1.208e+8,
367.07,1.306e+8,1.306e+8,
367.12,1.360e+8,1.360e+8,
367.17,1.366e+8,1.366e+8,
367.22,1.321e+8,1.321e+8,
367.27,1.233e+8,1.233e+8,
367.32,1.111e+8,1.111e+8,
367.37,9.683e+7,9.683e+7,
367.42,8.219e+7,8.219e+7,
367.47,6.886e+7,6.886e+7,
367.52,5.863e+7,5.863e+7,
367.57,5.336e+7,5.336e+7,
367.62,5.514e+7,5.514e+7,
367.67,6.642e+7,6.642e+7,
367.72,9.007e+7,9.007e+7,
367.77,1.294e+8,1.294e+8,
367.82,1.878e+8,1.878e+8,
367.87,2.683e+8,2.683e+8,
367.92,3.728e+8,3.728e+8,
367.97,5.011e+8,5.011e+8,
368.02,6.502e+8,6.502e+8,
368.07,8.138e+8,8.138e+8,
368.12,9.818e+8,9.818e+8,
368.17,1.142e+9,1.142e+9,
368.22,1.280e+9,1.280e+9,
368.27,1.383e+9,1.383e+9,
368.32,1.440e+9,1.440e+9,
368.37,1.446e+9,1.446e+9,
368.42,1.398e+9,1.398e+9,
368.47,1.304e+9,1.304e+9,
368.52,1.172e+9,1.172e+9,
368.57,1.015e+9,1.015e+9,
368.62,8.472e+8,8.472e+8,
368.67,6.816e+8,6.816e+8,
368.72,5.286e+8,5.286e+8,
368.77,3.951e+8,3.951e+8,
368.82,2.846e+8,2.846e+8,
368.87,1.976e+8,1.976e+8,
368.92,1.322e+8,1.322e+8,
368.97,8.529e+7,8.529e+7,
369.02,5.302e+7,5.302e+7,
369.07,3.177e+7,3.177e+7,
369.12,1.834e+7,1.834e+7,
369.17,1.021e+7,1.021e+7,
369.22,5.477e+6,5.477e+6,
369.27,2.832e+6,2.832e+6,
369.32,1.411e+6,1.411e+6,
369.37,6.778e+5,6.778e+5,
369.42,3.138e+5,3.138e+5,
369.47,1.400e+5,1.400e+5,
369.52,6.020e+4,6.020e+4,
369.57,2.495e+4,2.495e+4,
369.62,9.967e+3,9.967e+3,
369.67,3.838e+3,3.838e+3,
369.72,1.424e+3,1.424e+3,
369.77,5.093e+2,5.093e+2,
369.82,1.756e+2,1.756e+2,
369.87,5.834e+1,5.834e+1,
369.92,1.868e+1,1.868e+1,
369.97,5.766e+0,5.766e+0,
370.02,1.715e+0,1.715e+0,
