Wavelength (nm),Sum,Zn I (3.9e-01),Zn II (6.1e-01)
201.32,5.331e-6,,5.331e-6
201.37,1.006e-4,,1.006e-4
201.42,1.679e-3,,1.679e-3
201.47,2.482e-2,,2.482e-2
201.52,3.248e-1,,3.248e-1
201.57,3.763e+0,,3.763e+0
201.62,3.859e+1,,3.859e+1
201.67,3.503e+2,,3.503e+2
201.72,2.816e+3,,2.816e+3
201.77,2.003e+4,,2.003e+4
201.82,1.262e+5,,1.262e+5
201.87,7.036e+5,,7.036e+5
201.92,3.473e+6,,3.473e+6
201.97,1.517e+7,,1.517e+7
202.02,5.870e+7,,5.870e+7
202.07,2.010e+8,,2.010e+8
202.12,6.094e+8,,6.094e+8
202.17,1.635e+9,,1.635e+9
202.22,3.885e+9,,3.885e+9
202.27,8.171e+9,,8.171e+9
202.32,1.521e+10,,1.521e+10
202.37,2.507e+10,,2.507e+10
202.42,3.659e+10,,3.659e+10
202.47,4.726e+10,,4.726e+10
202.52,5.404e+10,,5.404e+10
202.57,5.470e+10,,5.470e+10
202.62,4.902e+10,,4.902e+10
202.67,3.888e+10,,3.888e+10
202.72,2.731e+10,,2.731e+10
202.77,1.698e+10,,1.698e+10
202.82,9.343e+9,,9.343e+9
202.87,4.552e+9,,4.552e+9
202.92,1.963e+9,,1.963e+9
202.97,7.497e+8,,7.497e+8
203.02,2.534e+8,,2.534e+8
203.07,7.582e+7,,7.582e+7
203.12,2.008e+7,,2.008e+7
203.17,4.710e+6,,4.710e+6
203.22,9.777e+5,,9.777e+5
203.27,1.797e+5,,1.797e+5
203.32,2.923e+4,,2.923e+4
203.37,4.210e+3,,4.210e+3
203.42,5.367e+2,,5.367e+2
203.47,6.058e+1,,6.058e+1
203.52,6.053e+0,,6.053e+0
203.57,5.354e-1,,5.354e-1
203.62,4.192e-2,,4.192e-2
203.67,2.906e-3,,2.906e-3
203.72,1.783e-4,,1.783e-4
203.77,9.687e-6,,9.687e-6
204.97,1.010e-5,,1.010e-5
205.02,1.718e-4,,1.718e-4
205.07,2.599e-3,,2.599e-3
205.12,3.495e-2,,3.495e-2
205.17,4.179e-1,,4.179e-1
205.22,4.443e+0,,4.443e+0
205.27,4.199e+1,,4.199e+1
205.32,3.528e+2,,3.528e+2
205.37,2.635e+3,,2.635e+3
205.42,1.750e+4,,1.750e+4
205.47,1.033e+5,,1.033e+5
205.52,5.424e+5,,5.424e+5
205.57,2.531e+6,,2.531e+6
205.62,1.050e+7,,1.050e+7
205.67,3.874e+7,,3.874e+7
205.72,1.271e+8,,1.271e+8
205.77,3.705e+8,,3.705e+8
205.82,9.604e+8,,9.604e+8
205.87,2.213e+9,,2.213e+9
205.92,4.535e+9,,4.535e+9
205.97,8.262e+9,,8.262e+9
206.02,1.338e+10,,1.338e+10
206.07,1.927e+10,,1.927e+10
206.12,2.467e+10,,2.467e+10
206.17,2.808e+10,,2.808e+10
206.22,2.842e+10,,2.842e+10
206.27,2.558e+10,,2.558e+10
206.32,2.048e+10,,2.048e+10
206.37,1.459e+10,,1.459e+10
206.42,9.247e+9,,9.247e+9
206.47,5.221e+9,,5.221e+9
206.52,2.629e+9,,2.629e+9
206.57,1.183e+9,,1.183e+9
206.62,4.772e+8,,4.772e+8
206.67,1.735e+8,,1.735e+8
206.72,5.726e+7,,5.726e+7
206.77,1.734e+7,,1.734e+7
206.82,4.878e+6,,4.878e+6
206.87,1.292e+6,,1.292e+6
206.92,3.245e+5,,3.245e+5
206.97,7.748e+4,,7.748e+4
207.02,1.744e+4,,1.744e+4
207.07,3.660e+3,,3.660e+3
207.12,7.065e+2,,7.065e+2
207.17,1.241e+2,,1.241e+2
207.22,1.966e+1,,1.966e+1
207.27,2.797e+0,,2.797e+0
207.32,3.558e-1,,3.558e-1
207.37,4.038e-2,,4.038e-2
207.42,4.085e-3,,4.085e-3
207.47,3.669e-4,,3.669e-4
207.52,2.944e-5,,2.944e-5
207.57,2.100e-6,,2.100e-6
207.62,1.333e-7,,1.333e-7
207.67,7.519e-9,,7.519e-9
208.72,1.446e-8,,1.446e-8
208.77,2.434e-7,,2.434e-7
208.82,3.658e-6,,3.658e-6
208.87,4.908e-5,,4.908e-5
208.92,5.879e-4,,5.879e-4
208.97,6.288e-3,,6.288e-3
209.02,6.004e-2,,6.004e-2
209.07,5.118e-1,,5.118e-1
209.12,3.895e+0,,3.895e+0
209.17,2.647e+1,,2.647e+1
209.22,1.606e+2,,1.606e+2
209.27,8.698e+2,,8.698e+2
209.32,4.206e+3,,4.206e+3
209.37,1.816e+4,,1.816e+4
209.42,7.001e+4,,7.001e+4
209.47,2.410e+5,,2.410e+5
209.52,7.404e+5,,7.404e+5
209.57,2.031e+6,,2.031e+6
209.62,4.977e+6,,4.977e+6
209.67,1.089e+7,,1.089e+7
209.72,2.127e+7,,2.127e+7
209.77,3.713e+7,,3.713e+7
209.82,5.791e+7,,5.791e+7
209.87,8.077e+7,,8.077e+7
209.92,1.008e+8,,1.008e+8
209.97,1.129e+8,,1.129e+8
210.02,1.136e+8,,1.136e+8
210.07,1.033e+8,,1.033e+8
210.12,8.543e+7,,8.543e+7
210.17,6.485e+7,,6.485e+7
210.22,4.575e+7,,4.575e+7
210.27,3.040e+7,,3.040e+7
210.32,1.923e+7,,1.923e+7
210.37,1.161e+7,,1.161e+7
210.42,6.666e+6,,6.666e+6
210.47,3.597e+6,,3.597e+6
210.52,1.800e+6,,1.800e+6
210.57,8.257e+5,,8.257e+5
210.62,3.440e+5,,3.440e+5
210.67,1.294e+5,,1.294e+5
210.72,4.373e+4,,4.373e+4
210.77,1.325e+4,,1.325e+4
210.82,3.595e+3,,3.595e+3
210.87,8.720e+2,,8.720e+2
210.92,1.891e+2,,1.891e+2
210.97,3.663e+1,,3.663e+1
211.02,6.338e+0,,6.338e+0
211.07,9.797e-1,,9.797e-1
211.12,1.352e-1,,1.352e-1
211.17,1.667e-2,,1.667e-2
211.22,1.836e-3,,1.836e-3
211.27,1.805e-4,,1.805e-4
211.32,1.585e-5,,1.585e-5
211.37,1.243e-6,,1.243e-6
211.42,8.703e-8,,8.703e-8
211.47,5.442e-9,,5.442e-9
212.57,1.724e-5,1.724e-5,
212.62,2.740e-4,2.740e-4,
212.67,3.903e-3,3.903e-3,
212.72,4.986e-2,4.986e-2,
212.77,5.708e-1,5.708e-1,
212.82,5.859e+0,5.859e+0,
212.87,5.391e+1,5.391e+1,
212.92,4.446e+2,4.446e+2,
212.97,3.288e+3,3.288e+3,
213.02,2.179e+4,2.179e+4,
213.07,1.295e+5,1.295e+5,
213.12,6.897e+5,6.897e+5,
213.17,3.293e+6,3.293e+6,
213.22,1.410e+7,1.410e+7,
213.27,5.408e+7,5.408e+7,
213.32,1.860e+8,1.860e+8,
213.37,5.736e+8,5.736e+8,
213.42,1.586e+9,1.586e+9,
213.47,3.929e+9,3.929e+9,
213.52,8.727e+9,8.727e+9,
213.57,1.738e+10,1.738e+10,
213.62,3.102e+10,3.102e+10,
213.67,4.963e+10,4.963e+10,
213.72,7.120e+10,7.120e+10,
213.77,9.155e+10,9.155e+10,
213.82,1.055e+11,1.055e+11,
213.87,1.091e+11,1.091e+11,
213.92,1.010e+11,1.010e+11,
213.97,8.389e+10,8.389e+10,
214.02,6.244e+10,6.244e+10,
214.07,4.167e+10,4.167e+10,
214.12,2.493e+10,2.493e+10,
214.17,1.337e+10,1.337e+10,
214.22,6.426e+9,6.426e+9,
214.27,2.769e+9,2.769e+9,
214.32,1.070e+9,1.070e+9,
214.37,3.704e+8,3.704e+8,
214.42,1.150e+8,1.150e+8,
214.47,3.200e+7,3.200e+7,
214.52,7.983e+6,7.983e+6,
214.57,1.785e+6,1.785e+6,
214.62,3.579e+5,3.579e+5,
214.67,6.432e+4,6.432e+4,
214.72,1.036e+4,1.036e+4,
214.77,1.496e+3,1.496e+3,
214.82,1.937e+2,1.937e+2,
214.87,2.248e+1,2.248e+1,
214.92,2.339e+0,2.339e+0,
214.97,2.181e-1,2.181e-1,
215.02,1.824e-2,1.824e-2,
215.07,1.367e-3,1.367e-3,
215.12,9.181e-5,9.181e-5,
215.17,5.529e-6,5.529e-6,
248.68,2.929e-9,,2.929e-9
248.73,3.191e-8,,3.191e-8
248.78,3.210e-7,,3.210e-7
248.83,2.980e-6,,2.980e-6
248.88,2.555e-5,,2.555e-5
248.93,2.022e-4,,2.022e-4
248.98,1.478e-3,,1.478e-3
249.03,9.968e-3,,9.968e-3
249.08,6.208e-2,,6.208e-2
249.13,3.570e-1,,3.570e-1
249.18,1.895e+0,,1.895e+0
249.23,9.288e+0,,9.288e+0
249.28,4.203e+1,,4.203e+1
249.33,1.756e+2,,1.756e+2
249.38,6.771e+2,,6.771e+2
249.43,2.411e+3,,2.411e+3
249.48,7.927e+3,,7.927e+3
249.53,2.406e+4,,2.406e+4
249.58,6.741e+4,,6.741e+4
249.63,1.744e+5,,1.744e+5
249.68,4.165e+5,,4.165e+5
249.73,9.184e+5,,9.184e+5
249.78,1.870e+6,,1.870e+6
249.83,3.514e+6,,3.514e+6
249.88,6.097e+6,,6.097e+6
249.93,9.768e+6,,9.768e+6
249.98,1.445e+7,,1.445e+7
250.03,1.973e+7,,1.973e+7
250.08,2.487e+7,,2.487e+7
250.13,2.894e+7,,2.894e+7
250.18,3.110e+7,,3.110e+7
250.23,3.085e+7,,3.085e+7
250.28,2.826e+7,,2.826e+7
250.33,2.390e+7,,2.390e+7
250.38,1.865e+7,,1.865e+7
250.43,1.345e+7,,1.345e+7
250.48,8.947e+6,,8.947e+6
250.53,5.496e+6,,5.496e+6
250.58,3.117e+6,,3.117e+6
250.63,1.632e+6,,1.632e+6
250.68,7.891e+5,,7.891e+5
250.73,3.522e+5,,3.522e+5
250.78,1.451e+5,,1.451e+5
250.83,5.521e+4,,5.521e+4
250.88,1.939e+4,,1.939e+4
250.93,6.288e+3,,6.288e+3
250.98,1.882e+3,,1.882e+3
251.03,5.202e+2,,5.202e+2
251.08,1.328e+2,,1.328e+2
251.13,3.127e+1,,3.127e+1
251.18,6.802e+0,,6.802e+0
251.23,1.366e+0,,1.366e+0
251.28,2.532e-1,,2.532e-1
251.33,4.334e-2,,4.334e-2
251.38,6.848e-3,,6.848e-3
251.43,9.990e-4,,9.990e-4
251.48,1.346e-4,,1.346e-4
251.53,1.673e-5,,1.673e-5
251.58,1.921e-6,,1.921e-6
251.63,2.036e-7,,2.036e-7
251.68,1.992e-8,,1.992e-8
251.73,1.800e-9,,1.800e-9
254.28,4.365e-8,,4.365e-8
254.33,4.224e-7,,4.224e-7
254.38,3.786e-6,,3.786e-6
254.43,3.144e-5,,3.144e-5
254.48,2.419e-4,,2.419e-4
254.53,1.724e-3,,1.724e-3
254.58,1.138e-2,,1.138e-2
254.63,6.962e-2,,6.962e-2
254.68,3.945e-1,,3.945e-1
254.73,2.071e+0,,2.071e+0
254.78,1.007e+1,,1.007e+1
254.83,4.539e+1,,4.539e+1
254.88,1.895e+2,,1.895e+2
254.93,7.328e+2,,7.328e+2
254.98,2.626e+3,,2.626e+3
255.03,8.715e+3,,8.715e+3
255.08,2.680e+4,,2.680e+4
255.13,7.635e+4,,7.635e+4
255.18,2.015e+5,,2.015e+5
255.23,4.927e+5,,4.927e+5
255.28,1.116e+6,,1.116e+6
255.33,2.342e+6,,2.342e+6
255.38,4.553e+6,,4.553e+6
255.43,8.201e+6,,8.201e+6
255.48,1.368e+7,,1.368e+7
255.53,2.115e+7,,2.115e+7
255.58,3.029e+7,,3.029e+7
255.63,4.019e+7,,4.019e+7
255.68,4.940e+7,,4.940e+7
255.73,5.626e+7,,5.626e+7
255.78,5.935e+7,,5.935e+7
255.83,5.800e+7,,5.800e+7
255.88,5.252e+7,,5.252e+7
255.93,4.405e+7,,4.405e+7
255.98,3.423e+7,,3.423e+7
256.03,2.465e+7,,2.465e+7
256.08,1.644e+7,,1.644e+7
256.13,1.016e+7,,1.016e+7
256.18,5.814e+6,,5.814e+6
256.23,3.084e+6,,3.084e+6
256.28,1.515e+6,,1.515e+6
256.33,6.898e+5,,6.898e+5
256.38,2.915e+5,,2.915e+5
256.43,1.156e+5,,1.156e+5
256.48,4.599e+4,,4.599e+4
256.53,2.509e+4,,2.509e+4
256.58,2.855e+4,,2.855e+4
256.63,4.955e+4,,4.955e+4
256.68,8.951e+4,,8.951e+4
256.73,1.527e+5,,1.527e+5
256.78,2.421e+5,,2.421e+5
256.83,3.561e+5,,3.561e+5
256.88,4.857e+5,,4.857e+5
256.93,6.141e+5,,6.141e+5
256.98,7.198e+5,,7.198e+5
257.03,7.823e+5,,7.823e+5
257.08,7.882e+5,,7.882e+5
257.13,7.363e+5,,7.363e+5
257.18,6.377e+5,,6.377e+5
257.23,5.121e+5,,5.121e+5
257.28,3.812e+5,,3.812e+5
257.33,2.631e+5,,2.631e+5
257.38,1.684e+5,,1.684e+5
257.43,9.990e+4,,9.990e+4
257.48,5.495e+4,,5.495e+4
257.53,2.802e+4,,2.802e+4
257.58,1.325e+4,,1.325e+4
257.63,5.808e+3,,5.808e+3
257.68,2.360e+3,,2.360e+3
257.73,8.894e+2,,8.894e+2
257.78,3.107e+2,,3.107e+2
257.83,1.006e+2,,1.006e+2
257.88,3.022e+1,,3.022e+1
257.93,8.412e+0,,8.412e+0
257.98,2.171e+0,,2.171e+0
258.03,5.196e-1,,5.196e-1
258.08,1.153e-1,,1.153e-1
258.13,2.371e-2,,2.371e-2
258.18,4.522e-3,,4.522e-3
258.23,7.995e-4,,7.995e-4
258.28,1.311e-4,,1.311e-4
258.33,1.992e-5,,1.992e-5
258.38,2.807e-6,,2.807e-6
258.43,3.667e-7,,3.667e-7
258.48,4.441e-8,,4.441e-8
258.53,4.987e-9,,4.987e-9
258.58,5.192e-10,,5.192e-10
258.63,5.011e-11,,5.011e-11
326.26,1.317e-7,1.317e-7,
326.31,8.010e-7,8.010e-7,
326.36,4.651e-6,4.651e-6,
326.41,2.578e-5,2.578e-5,
326.46,1.364e-4,1.364e-4,
326.51,6.891e-4,6.891e-4,
326.56,3.323e-3,3.323e-3,
326.61,1.530e-2,1.530e-2,
326.66,6.723e-2,6.723e-2,
326.71,2.821e-1,2.821e-1,
326.76,1.130e+0,1.130e+0,
326.81,4.320e+0,4.320e+0,
326.86,1.577e+1,1.577e+1,
326.91,5.496e+1,5.496e+1,
326.96,1.828e+2,1.828e+2,
327.01,5.807e+2,5.807e+2,
327.06,1.761e+3,1.761e+3,
327.11,5.096e+3,5.096e+3,
327.16,1.408e+4,1.408e+4,
327.21,3.714e+4,3.714e+4,
327.26,9.353e+4,9.353e+4,
327.31,2.248e+5,2.248e+5,
327.36,5.160e+5,5.160e+5,
327.41,1.131e+6,1.131e+6,
327.46,2.365e+6,2.365e+6,
327.51,4.721e+6,4.721e+6,
327.56,9.000e+6,9.000e+6,
327.61,1.638e+7,1.638e+7,
327.66,2.845e+7,2.845e+7,
327.71,4.718e+7,4.718e+7,
327.76,7.470e+7,7.470e+7,
327.81,1.129e+8,1.129e+8,
327.86,1.629e+8,1.629e+8,
327.91,2.244e+8,2.244e+8,
327.96,2.951e+8,2.951e+8,
328.01,3.704e+8,3.704e+8,
328.06,4.439e+8,4.439e+8,
328.11,5.079e+8,5.079e+8,
328.16,5.547e+8,5.547e+8,
328.21,5.783e+8,5.783e+8,
328.26,5.757e+8,5.757e+8,
328.31,5.470e+8,5.470e+8,
328.36,4.962e+8,4.962e+8,
328.41,4.297e+8,4.297e+8,
328.46,3.553e+8,3.553e+8,
328.51,2.804e+8,2.804e+8,
328.56,2.113e+8,2.113e+8,
328.61,1.519e+8,1.519e+8,
328.66,1.043e+8,1.043e+8,
328.71,6.840e+7,6.840e+7,
328.76,4.280e+7,4.280e+7,
328.81,2.557e+7,2.557e+7,
328.86,1.458e+7,1.458e+7,
328.91,7.940e+6,7.940e+6,
328.96,4.127e+6,4.127e+6,
329.01,2.049e+6,2.049e+6,
329.06,9.728e+5,9.728e+5,
329.11,4.468e+5,4.468e+5,
329.16,2.123e+5,2.123e+5,
329.21,1.396e+5,1.396e+5,
329.26,1.890e+5,1.890e+5,
329.31,4.003e+5,4.003e+5,
329.36,9.162e+5,9.162e+5,
329.41,2.045e+6,2.045e+6,
329.46,4.376e+6,4.376e+6,
329.51,8.948e+6,8.948e+6,
329.56,1.748e+7,1.748e+7,
329.61,3.263e+7,3.263e+7,
329.66,5.817e+7,5.817e+7,
329.71,9.908e+7,9.908e+7,
329.76,1.612e+8,1.612e+8,
329.81,2.506e+8,2.506e+8,
329.86,3.721e+8,3.721e+8,
329.91,5.278e+8,5.278e+8,
329.96,7.153e+8,7.153e+8,
330.01,9.261e+8,9.261e+8,
330.06,1.145e+9,1.145e+9,
330.11,1.353e+9,1.353e+9,
330.16,1.528e+9,1.528e+9,
330.21,1.647e+9,1.647e+9,
330.26,1.697e+9,1.697e+9,
330.31,1.670e+9,1.670e+9,
330.36,1.570e+9,1.570e+9,
330.41,1.410e+9,1.410e+9,
330.46,1.210e+9,1.210e+9,
330.51,9.919e+8,9.919e+8,
330.56,7.768e+8,7.768e+8,
330.61,5.812e+8,5.812e+8,
330.66,4.154e+8,4.154e+8,
330.71,2.837e+8,2.837e+8,
330.76,1.850e+8,1.850e+8,
330.81,1.153e+8,1.153e+8,
330.86,6.866e+7,6.866e+7,
330.91,3.906e+7,3.906e+7,
330.96,2.122e+7,2.122e+7,
331.01,1.102e+7,1.102e+7,
331.06,5.465e+6,5.465e+6,
331.11,2.589e+6,2.589e+6,
331.16,1.172e+6,1.172e+6,
331.21,5.070e+5,5.070e+5,
331.26,2.095e+5,2.095e+5,
331.31,8.269e+4,8.269e+4,
331.36,3.118e+4,3.118e+4,
331.41,1.123e+4,1.123e+4,
331.46,3.867e+3,3.867e+3,
331.51,1.272e+3,1.272e+3,
331.56,3.995e+2,3.995e+2,
331.61,1.199e+2,1.199e+2,
331.66,3.439e+1,3.439e+1,
331.71,9.421e+0,9.421e+0,
331.76,2.466e+0,2.466e+0,
331.81,6.166e-1,6.166e-1,
331.86,1.473e-1,1.473e-1,
331.91,3.362e-2,3.362e-2,
331.96,7.331e-3,7.331e-3,
332.01,1.527e-3,1.527e-3,
332.06,3.040e-4,3.040e-4,
332.11,5.780e-5,5.780e-5,
332.16,1.050e-5,1.050e-5,
332.21,1.823e-6,1.823e-6,
332.26,3.022e-7,3.022e-7,
332.51,1.048e-6,1.048e-6,
332.56,6.192e-6,6.192e-6,
332.61,3.432e-5,3.432e-5,
332.66,1.820e-4,1.820e-4,
332.71,9.225e-4,9.225e-4,
332.76,4.473e-3,4.473e-3,
332.81,2.074e-2,2.074e-2,
332.86,9.199e-2,9.199e-2,
332.91,3.901e-1,3.901e-1,
332.96,1.582e+0,1.582e+0,
333.01,6.139e+0,6.139e+0,
333.06,2.278e+1,2.278e+1,
333.11,8.082e+1,8.082e+1,
333.16,2.743e+2,2.743e+2,
333.21,8.901e+2,8.901e+2,
333.26,2.763e+3,2.763e+3,
333.31,8.203e+3,8.203e+3,
333.36,2.329e+4,2.329e+4,
333.41,6.325e+4,6.325e+4,
333.46,1.643e+5,1.643e+5,
333.51,4.081e+5,4.081e+5,
333.56,9.695e+5,9.695e+5,
333.61,2.203e+6,2.203e+6,
333.66,4.788e+6,4.788e+6,
333.71,9.954e+6,9.954e+6,
333.76,1.979e+7,1.979e+7,
333.81,3.764e+7,3.764e+7,
333.86,6.846e+7,6.846e+7,
333.91,1.191e+8,1.191e+8,
333.96,1.982e+8,1.982e+8,
334.01,3.155e+8,3.155e+8,
334.06,4.804e+8,4.804e+8,
334.11,6.997e+8,6.997e+8,
334.16,9.747e+8,9.747e+8,
334.21,1.299e+9,1.299e+9,
334.26,1.656e+9,1.656e+9,
334.31,2.019e+9,2.019e+9,
334.36,2.355e+9,2.355e+9,
334.41,2.627e+9,2.627e+9,
334.46,2.804e+9,2.804e+9,
334.51,2.863e+9,2.863e+9,
334.56,2.796e+9,2.796e+9,
334.61,2.613e+9,2.613e+9,
334.66,2.336e+9,2.336e+9,
334.71,1.997e+9,1.997e+9,
334.76,1.634e+9,1.634e+9,
334.81,1.279e+9,1.279e+9,
334.86,9.578e+8,9.578e+8,
334.91,6.862e+8,6.862e+8,
334.96,4.703e+8,4.703e+8,
335.01,3.085e+8,3.085e+8,
